index,countryoforigin,visits_2002,visits_2003,visits_2004,visits_2005,visits_2006,visits_2007,visits_2008,visits_2009,visits_2010,visits_2011,visits_2012,visits_2013,visits_2014,visits_2015,visits_2016,visits_2017,visits_2018,visits_2019,visits_2020p,nights_2002,nights_2003,nights_2004,nights_2005,nights_2006,nights_2007,nights_2008,nights_2009,nights_2010,nights_2011,nights_2012,nights_2013,nights_2014,nights_2015,nights_2016,nights_2017,nights_2018,nights_2019,nights_2020p,spend_2002,spend_2003,spend_2004,spend_2005,spend_2006,spend_2007,spend_2008,spend_2009,spend_2010,spend_2011,spend_2012,spend_2013,spend_2014,spend_2015,spend_2016,spend_2017,spend_2018,spend_2019,spend_2020p,sample_2002,sample_2003,sample_2004,sample_2005,sample_2006,sample_2007,sample_2008,sample_2009,sample_2010,sample_2011,sample_2012,sample_2013,sample_2014,sample_2015,sample_2016,sample_2017,sample_2018,sample_2019,sample_2020p
35,Oman,,,,,,,,,,8.1,8.5,12.1,9.6,14.3,22.3,21.5,21.5,23,0.6,,,,,,,,,,129.5,59.2,127.8,80.9,97.2,124.9,196.6,199.8,159.7,4.4,,,,,,,,,,11.1,9.9,85.5,10.2,19.7,24.8,23.8,31.7,46.1,0.4,,,,,,,,,,19,22,25,25,26,34,37,30,28,0.4
36,Other Africa,102.6,100.9,113.5,93.5,98.6,110.8,83.3,93.9,87.8,77.1,88.5,113.4,106.3,96.9,85.7,116,95.9,79.6,27.1,2003.9,2057.5,2233.2,1501.6,1803.7,1357.7,1372.8,1192.5,992.2,1027.8,1238.8,1410.3,1304.9,1001,1068.7,1331.9,1071.6,852.2,380,101.3,89.1,96.1,86.9,71.1,86.2,91.1,101.7,129.3,105,113,156.9,182.1,120.9,80.8,155.7,95.7,101.8,21.3,300,280,279,247,232,221,145,182,179,131,165,166,162,149,115,131,91,89,21.3
37,Other Asia,68.6,56,65.5,76,60.8,73.4,71.8,51.9,59.7,59.6,59.9,75.7,87.1,74.5,82.6,82.3,91.2,108.1,26.3,954.3,944.3,1111.3,1422,675.7,1196.3,1011.7,971.7,1234.3,989.4,996.2,866.6,1445.9,1210,1060.6,1127.7,1069.2,1328.8,230.9,50.4,38.5,52.3,50.4,42.7,61.1,55.3,42.3,53.4,60.1,68.9,73.8,87.6,122.8,86.4,89.7,84.2,104.1,19.6,171,144,153,158,136,140,105,126,137,101,114,127,142,110,118,126,114,126,19.6
38,Other Central & South America,106,98,103.2,108.2,108.5,119.2,76.1,90.5,84.6,85,84.8,128.3,111.1,88.6,118.6,148,147.8,184.1,28.6,1709,2111.7,1121.2,1471.5,972.2,1262.8,747.5,1177.7,1178.3,896.3,1034,1459.4,1402.3,1021.8,1077.9,1414.3,1302.9,2416.6,277.8,77.5,65.8,60.2,72.5,74.8,76.4,55.5,76,75,62.2,67.5,98,89.3,78.1,121.9,134.5,102.2,161.3,20,245,224,255,221,233,185,119,148,155,121,121,156,129,110,145,139,114,111,20
39,Other Eastern Europe,79.3,74.4,86.2,285.3,404.8,485,352.5,266.9,261.2,291.3,291.1,307.6,258.3,314,349.5,383.6,431.7,443,77.1,697.7,522,788.6,3366.2,3772.5,4881.4,3011.7,2018,2580.1,2363.7,2195.8,2014.1,1723.1,2121.5,2045.1,2604.2,2481,3476.6,337.1,45,41.8,46.6,147,191.5,247,205,174.9,145.8,190.8,183.4,176.3,136.5,197.3,151.6,229.7,190.5,236.3,31.3,137,115,102,303,346,434,264,314,312,292,294,311,259,246,270,250,168,168,31.3
40,Other Middle East,80.6,66.9,83.2,77.8,97,93.2,91.6,115.1,97.4,55.8,45.5,40.4,55.3,43.5,48.2,53.7,50.9,50.2,5.3,943.3,983.9,1278.5,886.8,1426.3,1009.4,1154.3,1409.8,1055.8,790.8,603.1,480.6,607.7,464.1,447.1,429.6,477.9,330.5,56.5,98.1,88.4,104.8,137.5,134,139.8,152.5,210.9,188.6,100.3,64.1,92,129.3,90.2,100.6,103.1,102,83,19.8,212,178,216,209,207,203,160,300,261,128,116,84,115,84,92,100,95,84,19.8
41,Other Southern Africa,19,11.9,13.6,12.2,11.4,12.3,11.7,5.6,1.8,21.3,19.4,17,19.6,16.5,17.6,30.1,19.9,19.9,6.2,225.6,249.1,163.4,179.7,218.4,111.4,163.2,92.3,15.5,525.6,241.7,290.9,326.7,161.2,163.2,448,248.3,277.6,89.5,19.3,7.9,5.7,4.9,7.8,8.1,4.4,9.7,4.2,24.1,19.5,12.8,13.3,16.6,13.6,31.9,25.5,19.2,5.6,32,33,31,29,22,24,13,11,5,32,42,30,37,31,30,41,26,28,5.6
42,Other Western Europe,80.3,75.1,101.9,81.8,106.9,122.8,118.2,122.6,96.6,94.1,94.8,103.5,117.6,113.6,132.3,145.8,92,164.1,35.4,695.1,733.1,780.4,745.9,770.4,1421,833.6,867.1,734,651.1,754,806.9,613.4,859.5,1093.3,982.3,525.5,890.5,334.6,60.2,47.4,61.1,57.6,72.6,74.2,113.1,109.8,71.3,87.4,72.7,99.3,104.6,61.5,148.1,102.5,54.3,120.1,23.2,179,153,183,176,186,184,151,227,194,150,159,152,155,134,145,142,85,100,23.2
43,Pakistan,43,35.6,49.2,58.3,66.1,55.5,47.7,38.4,32.5,31.4,40.6,39.7,49,35.1,39.8,47.3,47.3,57.1,16.5,633.4,688,1176.2,1373.5,1438.9,1099.2,1108,813.7,628.2,909.6,802.8,650,867.8,622.8,678.7,673.9,596.3,795.8,510.4,39,27.2,49,53,68.4,67.5,45.2,40.5,30.5,54.5,44.6,77.3,42.6,41.8,45.6,81.5,45.7,69.7,31,112,87,111,140,129,108,82,111,99,75,97,90,97,71,65,86,65,75,31
44,Poland,115.3,167.2,277.8,425.2,528.2,432.7,451.3,359.6,355.7,353.7,396.2,419.2,446.5,531.4,534.1,506.8,510.3,517.5,107.4,2762.7,4811.1,6400.7,8529,7841.5,4791.3,5422.2,3670.9,3954.4,3083.3,3663.2,3054.5,3298.3,4074.1,4305.5,2943.1,2861.1,2197.4,496.3,48.2,67.8,148.2,163.8,277.7,174.8,198.2,146.5,160,140.1,135,175,141.7,167.4,156.5,161.2,140.3,180.5,37.7,96,111,175,241,258,207,229,323,366,337,332,367,380,384,381,315,190,183,37.7
